name,nominated,won,xpos,ypos,,
Sydney Greenstreet ,1,0,188.28043,108.93663,,"{'name' : 'Sydney Greenstreet ', 'value':1},"
Henry Travers ,1,0,9.95,373.17715,,"{'name' : 'Henry Travers ', 'value':1},"
Monty Woolley ,2,0,473.86813,491.20126,,"{'name' : 'Monty Woolley ', 'value':2},"
Van Heflin ,1,1,891.1938,9.949994,,"{'name' : 'Van Heflin ', 'value':1},"
Walter Pidgeon ,2,0,476.5569,38.88819,,"{'name' : 'Walter Pidgeon ', 'value':2},"
William Bendix ,1,0,203.05418,9.95,,"{'name' : 'William Bendix ', 'value':1},"
Charles Bickford ,3,0,589.7081,449.71906,,"{'name' : 'Charles Bickford ', 'value':3},"
Humphrey Bogart ,3,1,1177.2073,537.4064,,"{'name' : 'Humphrey Bogart ', 'value':3},"
J. Carrol Naish ,2,0,1178.155,327.7235,,"{'name' : 'J. Carrol Naish ', 'value':2},"
Paul Lukas ,1,1,904.62555,684.50275,,"{'name' : 'Paul Lukas ', 'value':1},"
Alexander Knox ,1,0,314.43442,471.99075,,"{'name' : 'Alexander Knox ', 'value':1},"
Barry Fitzgerald ,2,1,291.51062,403.58383,,"{'name' : 'Barry Fitzgerald ', 'value':2},"
Bing Crosby ,3,1,1069.1979,169.5923,,"{'name' : 'Bing Crosby ', 'value':3},"
Clifton Webb ,3,0,219.71896,55.413494,,"{'name' : 'Clifton Webb ', 'value':3},"
Hume Cronyn ,1,0,454.73804,427.7178,,"{'name' : 'Hume Cronyn ', 'value':1},"
Cornel Wilde ,1,0,933.88617,710.05,,"{'name' : 'Cornel Wilde ', 'value':1},"
Gene Kelly ,1,0,947.6665,526.0636,,"{'name' : 'Gene Kelly ', 'value':1},"
Gregory Peck ,5,1,317.4887,49.74997,,"{'name' : 'Gregory Peck ', 'value':5},"
James Dunn ,1,1,58.40019,254.34647,,"{'name' : 'James Dunn ', 'value':1},"
John Dall ,1,0,485.02255,658.0245,,"{'name' : 'John Dall ', 'value':1},"
Michael Chekhov ,1,0,856.75604,450.90463,,"{'name' : 'Michael Chekhov ', 'value':1},"
Ray Milland ,1,1,726.9976,183.9168,,"{'name' : 'Ray Milland ', 'value':1},"
Robert Mitchum ,1,0,1008.60986,356.8315,,"{'name' : 'Robert Mitchum ', 'value':1},"
Harold Russell ,1,1,794.9014,206.8385,,"{'name' : 'Harold Russell ', 'value':1},"
Larry Parks ,1,0,1115.4552,669.3706,,"{'name' : 'Larry Parks ', 'value':1},"
William Demarest ,1,0,77.323814,248.18973,,"{'name' : 'William Demarest ', 'value':1},"
Edmund Gwenn ,2,1,632.99335,693.263,,"{'name' : 'Edmund Gwenn ', 'value':2},"
Michael Redgrave ,1,0,499.61206,453.8152,,"{'name' : 'Michael Redgrave ', 'value':1},"
Richard Widmark ,1,0,477.4829,430.31293,,"{'name' : 'Richard Widmark ', 'value':1},"
Robert Ryan ,1,0,43.02838,266.98434,,"{'name' : 'Robert Ryan ', 'value':1},"
Thomas Gomez ,1,0,303.71957,455.22168,,"{'name' : 'Thomas Gomez ', 'value':1},"
Cecil Kellaway ,2,0,245.88313,587.93665,,"{'name' : 'Cecil Kellaway ', 'value':2},"
Dan Dailey ,1,0,373.37982,27.376423,,"{'name' : 'Dan Dailey ', 'value':1},"
Jose Ferrer ,3,1,1180.3785,690.1501,,"{'name' : 'Jose Ferrer ', 'value':3},"
Lew Ayres ,1,0,704.095,439.7942,,"{'name' : 'Lew Ayres ', 'value':1},"
Montgomery Clift ,4,0,1240.2001,507.69003,,"{'name' : 'Montgomery Clift ', 'value':4},"
Oscar Homolka ,1,0,27.647533,319.40265,,"{'name' : 'Oscar Homolka ', 'value':1},"
Arthur Kennedy ,5,0,392.75348,564.1831,,"{'name' : 'Arthur Kennedy ', 'value':5},"
Broderick Crawford ,1,1,1196.1497,169.0491,,"{'name' : 'Broderick Crawford ', 'value':1},"
Dean Jagger ,1,1,889.1662,671.97186,,"{'name' : 'Dean Jagger ', 'value':1},"
James Whitmore ,2,0,410.7932,700.1,,"{'name' : 'James Whitmore ', 'value':2},"
John Ireland ,1,0,382.65036,710.05,,"{'name' : 'John Ireland ', 'value':1},"
John Wayne ,2,1,879.1746,700.10004,,"{'name' : 'John Wayne ', 'value':2},"
Kirk Douglas ,3,0,437.65594,391.76996,,"{'name' : 'Kirk Douglas ', 'value':3},"
Ralph Richardson ,2,0,214.12303,541.97614,,"{'name' : 'Ralph Richardson ', 'value':2},"
Richard Todd ,1,0,921.86035,68.13101,,"{'name' : 'Richard Todd ', 'value':1},"
Erich von Stroheim ,1,0,362.75037,710.05,,"{'name' : 'Erich von Stroheim ', 'value':1},"
George Sanders ,1,1,1120.7014,689.3131,,"{'name' : 'George Sanders ', 'value':1},"
Jeff Chandler ,1,0,116.01948,254.72334,,"{'name' : 'Jeff Chandler ', 'value':1},"
Louis Calhern ,1,0,477.4751,461.56995,,"{'name' : 'Louis Calhern ', 'value':1},"
Sam Jaffe ,1,0,426.05997,674.44946,,"{'name' : 'Sam Jaffe ', 'value':1},"
William Holden ,3,1,900.54443,605.6273,,"{'name' : 'William Holden ', 'value':3},"
Gig Young ,3,1,354.7929,361.7257,,"{'name' : 'Gig Young ', 'value':3},"
Karl Malden ,2,1,1260.1,563.97565,,"{'name' : 'Karl Malden ', 'value':2},"
Kevin McCarthy ,1,0,659.2064,475.0544,,"{'name' : 'Kevin McCarthy ', 'value':1},"
Leo Genn ,1,0,1019.7989,91.81982,,"{'name' : 'Leo Genn ', 'value':1},"
Marlon Brando ,8,2,731.46985,275.2037,,"{'name' : 'Marlon Brando ', 'value':8},"
Peter Ustinov ,3,2,236.72604,133.03445,,"{'name' : 'Peter Ustinov ', 'value':3},"
Alec Guinness ,4,1,231.50314,402.8384,,"{'name' : 'Alec Guinness ', 'value':4},"
Anthony Quinn ,4,2,893.904,416.12842,,"{'name' : 'Anthony Quinn ', 'value':4},"
Arthur Hunnicutt ,1,0,336.00873,205.6535,,"{'name' : 'Arthur Hunnicutt ', 'value':1},"
Jack Palance ,3,1,289.28687,161.34435,,"{'name' : 'Jack Palance ', 'value':3},"
Richard Burton ,7,0,1085.1819,497.60492,,"{'name' : 'Richard Burton ', 'value':7},"
Brandon De Wilde ,1,0,644.3923,254.30646,,"{'name' : 'Brandon De Wilde ', 'value':1},"
Burt Lancaster ,4,1,975.6223,39.799988,,"{'name' : 'Burt Lancaster ', 'value':4},"
Eddie Albert ,2,0,191.86842,575.645,,"{'name' : 'Eddie Albert ', 'value':2},"
Frank Sinatra ,2,1,1115.521,413.3508,,"{'name' : 'Frank Sinatra ', 'value':2},"
Robert Strauss ,1,0,9.95,247.32124,,"{'name' : 'Robert Strauss ', 'value':1},"
Dan O'Herlihy ,1,0,638.0447,278.04745,,"{'name' : 'Dan O'Herlihy ', 'value':1},"
Edmond O'Brien ,2,1,846.6405,328.3501,,"{'name' : 'Edmond O'Brien ', 'value':2},"
James Mason ,3,0,337.8985,126.68887,,"{'name' : 'James Mason ', 'value':3},"
Lee J. Cobb ,2,0,830.01764,292.18768,,"{'name' : 'Lee J. Cobb ', 'value':2},"
Rod Steiger ,3,1,1027.0552,416.8489,,"{'name' : 'Rod Steiger ', 'value':3},"
Tom Tully ,1,0,1270.05,232.05,,"{'name' : 'Tom Tully ', 'value':1},"
Arthur O'Connell ,2,0,897.3933,536.59766,,"{'name' : 'Arthur O'Connell ', 'value':2},"
Ernest Borgnine ,1,0,378.8491,690.5164,,"{'name' : 'Ernest Borgnine ', 'value':1},"
Jack Lemmon ,8,2,116.32353,640.4002,,"{'name' : 'Jack Lemmon ', 'value':8},"
James Dean ,2,0,142.3485,358.9549,,"{'name' : 'James Dean ', 'value':2},"
Joe Mantell ,1,0,315.60968,191.19652,,"{'name' : 'Joe Mantell ', 'value':1},"
Sal Mineo ,2,0,31.667934,348.98062,,"{'name' : 'Sal Mineo ', 'value':2},"
Anthony Perkins ,1,0,1270.05,467.88995,,"{'name' : 'Anthony Perkins ', 'value':1},"
Don Murray ,1,0,908.2572,508.7948,,"{'name' : 'Don Murray ', 'value':1},"
Robert Stack ,1,0,732.5442,430.18097,,"{'name' : 'Robert Stack ', 'value':1},"
Rock Hudson ,1,0,1134.1573,259.20883,,"{'name' : 'Rock Hudson ', 'value':1},"
Sir Laurence Olivier ,1,0,711.0333,9.949911,,"{'name' : 'Sir Laurence Olivier ', 'value':1},"
Yul Brynner ,1,1,714.13873,422.61472,,"{'name' : 'Yul Brynner ', 'value':1},"
Anthony Franciosa ,1,0,1119.4353,710.05,,"{'name' : 'Anthony Franciosa ', 'value':1},"
Red Buttons ,1,1,206.12503,99.331665,,"{'name' : 'Red Buttons ', 'value':1},"
Russ Tamblyn ,1,0,942.5191,426.69553,,"{'name' : 'Russ Tamblyn ', 'value':1},"
Sessue Hayakawa ,1,0,246.58313,181.63284,,"{'name' : 'Sessue Hayakawa ', 'value':1},"
Vittorio De Sica ,1,0,612.9238,358.55798,,"{'name' : 'Vittorio De Sica ', 'value':1},"
Burl Ives ,1,1,202.21619,464.57544,,"{'name' : 'Burl Ives ', 'value':1},"
David Niven ,1,1,462.21503,670.4301,,"{'name' : 'David Niven ', 'value':1},"
Paul Newman ,9,1,824.6925,89.549866,,"{'name' : 'Paul Newman ', 'value':9},"
Sidney Poitier ,2,1,341.4825,176.30968,,"{'name' : 'Sidney Poitier ', 'value':2},"
Theodore Bikel ,1,0,351.74307,520.7971,,"{'name' : 'Theodore Bikel ', 'value':1},"
Tony Curtis ,1,0,1089.2867,285.76138,,"{'name' : 'Tony Curtis ', 'value':1},"
