name,nominated,won,xpos,ypos,,
Dudley Moore ,1,0,543.20654,707.18555,,"{'name' : 'Dudley Moore ', 'value':1},"
Howard E. Rollins,,,,,,"{'name' : 'Howard E. Rollins', 'value':},"
Ian Holm ,1,0,1040.8569,117.39717,,"{'name' : 'Ian Holm ', 'value':1},"
James Coco ,1,0,9.955405,267.22125,,"{'name' : 'James Coco ', 'value':1},"
Ben Kingsley ,4,1,1090.2085,606.93945,,"{'name' : 'Ben Kingsley ', 'value':4},"
Charles Durning ,2,0,1161.3899,291.62683,,"{'name' : 'Charles Durning ', 'value':2},"
John Lithgow ,2,0,530.79614,480.3698,,"{'name' : 'John Lithgow ', 'value':2},"
Louis Gossett,,,,,,"{'name' : 'Louis Gossett', 'value':},"
Robert Preston ,1,0,215.82063,450.05197,,"{'name' : 'Robert Preston ', 'value':1},"
Rip Torn ,1,0,954.7013,232.1675,,"{'name' : 'Rip Torn ', 'value':1},"
Sam Shepard ,1,0,630.6469,545.92096,,"{'name' : 'Sam Shepard ', 'value':1},"
Tom Conti ,1,0,326.85944,456.44635,,"{'name' : 'Tom Conti ', 'value':1},"
Adolph Caesar ,1,0,674.50275,385.40543,,"{'name' : 'Adolph Caesar ', 'value':1},"
F. Murray Abraham ,1,1,990.7985,433.2669,,"{'name' : 'F. Murray Abraham ', 'value':1},"
Haing S. Ngor ,1,1,1156.1881,637.6109,,"{'name' : 'Haing S. Ngor ', 'value':1},"
John Malkovich ,2,0,1243.4447,700.1,,"{'name' : 'John Malkovich ', 'value':2},"
Noriyuki 'Pat' Morita ,1,0,368.27838,509.7249,,"{'name' : 'Noriyuki 'Pat' Morita ', 'value':1},"
Sam Waterston ,1,0,846.9575,394.57175,,"{'name' : 'Sam Waterston ', 'value':1},"
Tom Hulce ,1,0,823.6521,261.52063,,"{'name' : 'Tom Hulce ', 'value':1},"
Don Ameche ,1,1,814.8015,206.7272,,"{'name' : 'Don Ameche ', 'value':1},"
Eric Roberts ,1,0,232.75722,631.08575,,"{'name' : 'Eric Roberts ', 'value':1},"
Harrison Ford ,1,0,477.45593,391.7883,,"{'name' : 'Harrison Ford ', 'value':1},"
James Garner ,1,0,77.09067,228.2911,,"{'name' : 'James Garner ', 'value':1},"
Klaus Maria Brandauer ,1,0,926.0701,524.45294,,"{'name' : 'Klaus Maria Brandauer ', 'value':1},"
Robert Loggia ,1,0,497.28845,390.15106,,"{'name' : 'Robert Loggia ', 'value':1},"
William Hickey ,1,0,1002.8029,81.46866,,"{'name' : 'William Hickey ', 'value':1},"
William Hurt ,4,1,39.799984,548.7459,,"{'name' : 'William Hurt ', 'value':4},"
Bob Hoskins ,1,0,452.0421,571.1795,,"{'name' : 'Bob Hoskins ', 'value':1},"
Denholm Elliott ,1,0,459.25793,650.7509,,"{'name' : 'Denholm Elliott ', 'value':1},"
Dennis Hopper ,1,0,911.64667,665.88245,,"{'name' : 'Dennis Hopper ', 'value':1},"
Dexter Gordon ,1,0,1140.5786,690.26526,,"{'name' : 'Dexter Gordon ', 'value':1},"
James Woods ,2,0,550.62976,378.4994,,"{'name' : 'James Woods ', 'value':2},"
Tom Berenger ,1,0,635.7055,9.95,,"{'name' : 'Tom Berenger ', 'value':1},"
Willem Dafoe ,2,0,740.9663,697.85803,,"{'name' : 'Willem Dafoe ', 'value':2},"
Albert Brooks ,1,0,863.12024,674.935,,"{'name' : 'Albert Brooks ', 'value':1},"
Denzel Washington ,6,2,579.3335,59.69998,,"{'name' : 'Denzel Washington ', 'value':6},"
Michael Douglas ,1,1,770.07495,427.7598,,"{'name' : 'Michael Douglas ', 'value':1},"
Morgan Freeman ,5,1,87.284424,307.05295,,"{'name' : 'Morgan Freeman ', 'value':5},"
Robin Williams ,4,1,799.93774,373.02246,,"{'name' : 'Robin Williams ', 'value':4},"
Sean Connery ,1,1,891.18677,163.56863,,"{'name' : 'Sean Connery ', 'value':1},"
Dean Stockwell ,1,0,851.157,659.03235,,"{'name' : 'Dean Stockwell ', 'value':1},"
Edward James Olmos ,1,0,648.72565,40.78847,,"{'name' : 'Edward James Olmos ', 'value':1},"
Kevin Kline ,1,1,388.06537,634.3021,,"{'name' : 'Kevin Kline ', 'value':1},"
Martin Landau ,3,1,633.8539,324.70566,,"{'name' : 'Martin Landau ', 'value':3},"
Max von Sydow ,2,0,344.27402,491.89658,,"{'name' : 'Max von Sydow ', 'value':2},"
River Phoenix ,1,0,488.1725,621.311,,"{'name' : 'River Phoenix ', 'value':1},"
Tom Hanks ,5,2,1222.7843,622.786,,"{'name' : 'Tom Hanks ', 'value':5},"
Dan Aykroyd ,1,0,1038.8411,97.599525,,"{'name' : 'Dan Aykroyd ', 'value':1},"
Daniel Day Lewis ,5,3,1074.5414,49.749947,,"{'name' : 'Daniel Day Lewis ', 'value':5},"
Danny Aiello ,1,0,413.13855,9.949998,,"{'name' : 'Danny Aiello ', 'value':1},"
Kenneth Branagh ,2,0,259.99225,89.06003,,"{'name' : 'Kenneth Branagh ', 'value':2},"
Tom Cruise ,3,0,691.8876,689.713,,"{'name' : 'Tom Cruise ', 'value':3},"
Andy Garcia ,1,0,937.32556,590.4224,,"{'name' : 'Andy Garcia ', 'value':1},"
Bruce Davison ,1,0,43.228848,710.05,,"{'name' : 'Bruce Davison ', 'value':1},"
Gerard Depardieu ,1,0,1017.83704,68.4237,,"{'name' : 'Gerard Depardieu ', 'value':1},"
Graham Greene ,1,0,58.954254,220.10083,,"{'name' : 'Graham Greene ', 'value':1},"
Jeremy Irons ,1,1,497.16223,9.95,,"{'name' : 'Jeremy Irons ', 'value':1},"
Kevin Costner ,1,0,173.38112,710.05,,"{'name' : 'Kevin Costner ', 'value':1},"
Anthony Hopkins ,4,1,906.30115,330.52148,,"{'name' : 'Anthony Hopkins ', 'value':4},"
Harvey Keitel ,1,0,492.328,412.3772,,"{'name' : 'Harvey Keitel ', 'value':1},"
Michael Lerner ,1,0,1057.8706,107.07512,,"{'name' : 'Michael Lerner ', 'value':1},"
Nick Nolte ,3,0,1181.0399,470.93115,,"{'name' : 'Nick Nolte ', 'value':3},"
Tommy Lee Jones ,4,1,1121.7651,347.32663,,"{'name' : 'Tommy Lee Jones ', 'value':4},"
Clint Eastwood ,2,0,1076.0522,408.22614,,"{'name' : 'Clint Eastwood ', 'value':2},"
David Paymer ,1,0,465.15988,445.9384,,"{'name' : 'David Paymer ', 'value':1},"
Jaye Davidson ,1,0,657.6758,710.05,,"{'name' : 'Jaye Davidson ', 'value':1},"
Robert Downey Jr. ,2,0,672.84784,355.60114,,"{'name' : 'Robert Downey Jr. ', 'value':2},"
Stephen Rea ,1,0,1145.6272,240.17363,,"{'name' : 'Stephen Rea ', 'value':1},"
Laurence Fishburne ,1,0,618.37756,513.52747,,"{'name' : 'Laurence Fishburne ', 'value':1},"
Leonardo DiCaprio ,4,0,1090.1421,236.01869,,"{'name' : 'Leonardo DiCaprio ', 'value':4},"
Liam Neeson ,1,0,9.949992,227.42123,,"{'name' : 'Liam Neeson ', 'value':1},"
Pete Postlethwaite ,1,0,702.3867,359.89948,,"{'name' : 'Pete Postlethwaite ', 'value':1},"
Ralph Fiennes ,2,0,177.17691,338.9365,,"{'name' : 'Ralph Fiennes ', 'value':2},"
Chazz Palminteri ,1,0,496.0343,640.7353,,"{'name' : 'Chazz Palminteri ', 'value':1},"
Gary Sinise ,1,0,472.47205,411.05414,,"{'name' : 'Gary Sinise ', 'value':1},"
Nigel Hawthorne ,1,0,1152.9125,661.346,,"{'name' : 'Nigel Hawthorne ', 'value':1},"
Samuel L. Jackson ,1,0,28.063202,299.50696,,"{'name' : 'Samuel L. Jackson ', 'value':1},"
Brad Pitt ,3,0,551.35144,317.44186,,"{'name' : 'Brad Pitt ', 'value':3},"
Ed Harris ,4,0,486.057,341.68542,,"{'name' : 'Ed Harris ', 'value':4},"
James Cromwell ,1,0,639.96545,507.37253,,"{'name' : 'James Cromwell ', 'value':1},"
Kevin Spacey ,2,2,187.30786,138.77081,,"{'name' : 'Kevin Spacey ', 'value':2},"
Massimo Troisi ,1,0,1219.4149,682.39136,,"{'name' : 'Massimo Troisi ', 'value':1},"
Nicolas Cage ,2,1,1175.8541,234.3455,,"{'name' : 'Nicolas Cage ', 'value':2},"
Sean Penn ,5,2,409.60556,161.24689,,"{'name' : 'Sean Penn ', 'value':5},"
Tim Roth ,1,0,1006.35406,512.047,,"{'name' : 'Tim Roth ', 'value':1},"
Armin Mueller-Stahl,1,0,789.53467,182.6315,,"{'name' : 'Armin Mueller-Stahl', 'value':1},"
Billy Bob Thornton ,2,0,19.9,691.42773,,"{'name' : 'Billy Bob Thornton ', 'value':2},"
Cuba Gooding,,,,,,"{'name' : 'Cuba Gooding', 'value':},"
Edward Norton ,3,0,1001.581,551.5598,,"{'name' : 'Edward Norton ', 'value':3},"
Geoffrey Rush ,4,1,156.12352,527.82874,,"{'name' : 'Geoffrey Rush ', 'value':4},"
William H. Macy ,1,0,200.81093,681.3925,,"{'name' : 'William H. Macy ', 'value':1},"
Woody Harrelson ,2,0,1003.5836,460.71414,,"{'name' : 'Woody Harrelson ', 'value':2},"
Burt Reynolds ,1,0,842.7811,414.02856,,"{'name' : 'Burt Reynolds ', 'value':1},"
Greg Kinnear ,1,0,1083.501,132.45123,,"{'name' : 'Greg Kinnear ', 'value':1},"
Matt Damon ,2,0,277.5376,440.8504,,"{'name' : 'Matt Damon ', 'value':2},"
Peter Fonda ,1,0,1170.2927,651.64905,,"{'name' : 'Peter Fonda ', 'value':1},"
Robert Forster ,1,0,1142.7174,710.05,,"{'name' : 'Robert Forster ', 'value':1},"
Ian McKellen ,2,0,563.14307,269.10944,,"{'name' : 'Ian McKellen ', 'value':2},"
James Coburn ,1,1,523.31604,9.95,,"{'name' : 'James Coburn ', 'value':1},"
Roberto Benigni ,1,1,314.424,491.89075,,"{'name' : 'Roberto Benigni ', 'value':1},"
Haley Joel Osment ,1,0,1005.9018,490.4741,,"{'name' : 'Haley Joel Osment ', 'value':1},"
Jude Law ,2,0,953.8407,565.5574,,"{'name' : 'Jude Law ', 'value':2},"
Michael Clarke Duncan ,1,0,509.33597,45.32427,,"{'name' : 'Michael Clarke Duncan ', 'value':1},"
Russell Crowe ,3,1,343.70453,420.38693,,"{'name' : 'Russell Crowe ', 'value':3},"
Benicio Del Toro ,2,1,430.1933,637.57086,,"{'name' : 'Benicio Del Toro ', 'value':2},"
Javier Bardem ,3,1,1164.1027,402.63174,,"{'name' : 'Javier Bardem ', 'value':3},"
Joaquin Phoenix ,3,0,826.34314,690.1501,,"{'name' : 'Joaquin Phoenix ', 'value':3},"
Ethan Hawke ,2,0,595.02094,293.60803,,"{'name' : 'Ethan Hawke ', 'value':2},"
Jim Broadbent ,1,1,534.3961,353.44965,,"{'name' : 'Jim Broadbent ', 'value':1},"
Tom Wilkinson ,2,0,757.24255,175.74632,,"{'name' : 'Tom Wilkinson ', 'value':2},"
Will Smith ,2,0,1033.3524,217.60608,,"{'name' : 'Will Smith ', 'value':2},"
Adrien Brody ,1,1,498.01373,473.65094,,"{'name' : 'Adrien Brody ', 'value':1},"
Chris Cooper ,1,1,858.1501,640.4015,,"{'name' : 'Chris Cooper ', 'value':1},"
John C. Reilly ,1,0,1100.6388,655.58386,,"{'name' : 'John C. Reilly ', 'value':1},"
Alec Baldwin ,1,0,404.27655,622.76056,,"{'name' : 'Alec Baldwin ', 'value':1},"
Bill Murray ,1,0,189.04877,89.05147,,"{'name' : 'Bill Murray ', 'value':1},"
Djimon Hounsou ,2,0,388.35626,398.44858,,"{'name' : 'Djimon Hounsou ', 'value':2},"
Johnny Depp ,3,0,731.6509,386.87445,,"{'name' : 'Johnny Depp ', 'value':3},"
Ken Watanabe ,1,0,816.57056,242.92328,,"{'name' : 'Ken Watanabe ', 'value':1},"
Tim Robbins ,1,1,898.5553,491.41998,,"{'name' : 'Tim Robbins ', 'value':1},"
Alan Alda ,1,0,785.0395,684.81354,,"{'name' : 'Alan Alda ', 'value':1},"
Clive Owen ,1,0,491.42795,694.3173,,"{'name' : 'Clive Owen ', 'value':1},"
Don Cheadle ,1,0,163.74643,405.53842,,"{'name' : 'Don Cheadle ', 'value':1},"
Jamie Foxx ,2,1,490.515,591.55304,,"{'name' : 'Jamie Foxx ', 'value':2},"
Thomas Haden Church ,1,0,926.69824,48.82804,,"{'name' : 'Thomas Haden Church ', 'value':1},"
David Strathairn ,1,0,586.41077,410.05585,,"{'name' : 'David Strathairn ', 'value':1},"
George Clooney ,4,1,404.26727,71.856125,,"{'name' : 'George Clooney ', 'value':4},"
Heath Ledger ,2,1,176.88504,378.73544,,"{'name' : 'Heath Ledger ', 'value':2},"
Jake Gyllenhaal ,1,0,840.4331,187.79697,,"{'name' : 'Jake Gyllenhaal ', 'value':1},"
Matt Dillon ,1,0,9.950001,288.71115,,"{'name' : 'Matt Dillon ', 'value':1},"
Paul Giamatti ,1,0,346.02628,461.79825,,"{'name' : 'Paul Giamatti ', 'value':1},"
Philip Seymour Hoffman ,4,1,488.37943,118.657265,,"{'name' : 'Philip Seymour Hoffman ', 'value':4},"
Terrence Howard ,1,0,169.2786,275.9176,,"{'name' : 'Terrence Howard ', 'value':1},"
Eddie Murphy ,1,0,363.70276,9.95,,"{'name' : 'Eddie Murphy ', 'value':1},"
Forest Whitaker ,1,1,452.46176,84.21177,,"{'name' : 'Forest Whitaker ', 'value':1},"
Jackie Earle Haley ,1,0,935.6268,541.9083,,"{'name' : 'Jackie Earle Haley ', 'value':1},"
Mark Wahlberg ,1,0,750.8904,422.4719,,"{'name' : 'Mark Wahlberg ', 'value':1},"
Ryan Gosling ,1,0,1171.6215,360.3285,,"{'name' : 'Ryan Gosling ', 'value':1},"
Casey Affleck ,1,0,275.01007,378.709,,"{'name' : 'Casey Affleck ', 'value':1},"
Hal Holbrook ,1,0,437.3818,351.97092,,"{'name' : 'Hal Holbrook ', 'value':1},"
Viggo Mortensen ,1,0,787.65094,705.78644,,"{'name' : 'Viggo Mortensen ', 'value':1},"
Frank Langella ,1,0,613.7078,121.9061,,"{'name' : 'Frank Langella ', 'value':1},"
Josh Brolin ,1,0,289.42212,469.06335,,"{'name' : 'Josh Brolin ', 'value':1},"
Michael Shannon ,1,0,1040.6172,589.1509,,"{'name' : 'Michael Shannon ', 'value':1},"
Mickey Rourke ,1,0,180.4319,49.044064,,"{'name' : 'Mickey Rourke ', 'value':1},"
Richard Jenkins ,1,0,523.5138,710.05,,"{'name' : 'Richard Jenkins ', 'value':1},"
Christoph Waltz ,2,2,158.54057,303.76932,,"{'name' : 'Christoph Waltz ', 'value':2},"
Christopher Plummer ,2,1,701.33795,38.18161,,"{'name' : 'Christopher Plummer ', 'value':2},"
Colin Firth ,2,1,629.6678,479.35498,,"{'name' : 'Colin Firth ', 'value':2},"
Jeremy Renner ,2,0,859.3749,367.427,,"{'name' : 'Jeremy Renner ', 'value':2},"
Stanley Tucci ,1,0,884.69226,507.59357,,"{'name' : 'Stanley Tucci ', 'value':1},"
Christian Bale ,2,1,873.04663,475.91742,,"{'name' : 'Christian Bale ', 'value':2},"
James Franco ,1,0,9.949992,328.5025,,"{'name' : 'James Franco ', 'value':1},"
Jesse Eisenberg ,1,0,503.6138,710.05,,"{'name' : 'Jesse Eisenberg ', 'value':1},"
John Hawkes ,1,0,692.9249,377.69034,,"{'name' : 'John Hawkes ', 'value':1},"
Mark Ruffalo ,2,0,476.62952,554.2537,,"{'name' : 'Mark Ruffalo ', 'value':2},"
Demi•À_n Bichir ,1,0,875.1273,175.3204,,"{'name' : 'Demi•À_n Bichir ', 'value':1},"
Gary Oldman ,1,0,765.06213,408.5015,,"{'name' : 'Gary Oldman ', 'value':1},"
Jean Dujardin ,1,1,511.27124,74.486786,,"{'name' : 'Jean Dujardin ', 'value':1},"
Jonah Hill ,2,0,1107.0991,114.17147,,"{'name' : 'Jonah Hill ', 'value':2},"
Bradley Cooper ,3,0,132.56448,200.93251,,"{'name' : 'Bradley Cooper ', 'value':3},"
Hugh Jackman ,1,0,96.34467,223.2618,,"{'name' : 'Hugh Jackman ', 'value':1},"
Barkhad Abdi ,1,0,142.76125,329.10776,,"{'name' : 'Barkhad Abdi ', 'value':1},"
Chiwetel Ejiofor ,1,0,1190.6287,432.30347,,"{'name' : 'Chiwetel Ejiofor ', 'value':1},"
Jared Leto ,1,1,140.49777,279.9895,,"{'name' : 'Jared Leto ', 'value':1},"
Matthew McConaughey ,1,1,556.8446,408.98724,,"{'name' : 'Matthew McConaughey ', 'value':1},"
Michael Fassbender ,1,0,1135.4038,627.73486,,"{'name' : 'Michael Fassbender ', 'value':1},"
Benedict Cumberbatch,1,0,808.76086,187.76614,,"{'name' : 'Benedict Cumberbatch', 'value':1},"
Eddie Redmayne,1,1,443.24548,664.41614,,"{'name' : 'Eddie Redmayne', 'value':1},"
Michael Keaton,1,0,768.213,710.05,,"{'name' : 'Michael Keaton', 'value':1},"
Steve Carell,1,0,606.1935,497.79352,,"{'name' : 'Steve Carell', 'value':1},"
J.K. Simmons,1,1,230.50871,93.72304,,"{'name' : 'J.K. Simmons', 'value':1},"
